"categoria";"temps"
"CATEGORIA C M";"00:56:34"
"CATEGORIA C M";"00:56:34"
"CATEGORIA C F";"00:56:35"
"CATEGORIA B M";"00:56:35"
"CATEGORIA C M";"00:56:38"
"CATEGORIA C M";"00:56:40"
"CATEGORIA C M";"00:56:44"
"CATEGORIA C M";"00:56:47"
"CATEGORIA B M";"00:56:49"
"CATEGORIA C F";"00:56:54"
"CATEGORIA B F";"00:56:56"
"CATEGORIA C F";"00:56:56"
"CATEGORIA C M";"00:56:56"
"CATEGORIA B M";"00:56:56"
"CATEGORIA B M";"00:56:56"
"CATEGORIA C M";"00:56:57"
"CATEGORIA A M";"00:56:58"
"CATEGORIA C M";"00:56:58"
"CATEGORIA C M";"00:56:59"
"CATEGORIA C F";"00:57:01"
"CATEGORIA C M";"00:57:01"
"CATEGORIA B M";"00:57:03"
"CATEGORIA C M";"00:57:05"
"CATEGORIA C M";"00:57:05"
"CATEGORIA C M";"00:57:05"
"CATEGORIA C F";"00:57:06"
"CATEGORIA C M";"00:57:06"
"CATEGORIA B F";"00:57:10"
"CATEGORIA C M";"00:57:10"
"CATEGORIA C M";"00:57:11"
"CATEGORIA C M";"00:57:11"
"CATEGORIA C F";"00:57:13"
"CATEGORIA C F";"00:57:15"
"CATEGORIA C M";"00:57:15"
"CATEGORIA B M";"00:57:16"
"CATEGORIA B F";"00:57:17"
"CATEGORIA B M";"00:57:17"
"CATEGORIA C M";"00:57:17"
"CATEGORIA C M";"00:57:19"
"CATEGORIA C M";"00:57:20"
"CATEGORIA C F";"00:57:21"
"CATEGORIA C F";"00:57:22"
"CATEGORIA C M";"00:57:22"
"CATEGORIA C F";"00:57:24"
"CATEGORIA B M";"00:57:26"
"CATEGORIA C M";"00:57:26"
"CATEGORIA B M";"00:57:26"
"CATEGORIA B M";"00:57:27"
"CATEGORIA B M";"00:57:29"
"CATEGORIA C M";"00:57:31"
"CATEGORIA C M";"00:57:31"
"CATEGORIA B M";"00:57:32"
"CATEGORIA B M";"00:57:33"
"CATEGORIA C M";"00:57:33"
"CATEGORIA C M";"00:57:33"
"CATEGORIA C M";"00:57:34"
"CATEGORIA C F";"00:57:36"
"CATEGORIA B M";"00:57:36"
"CATEGORIA C M";"00:57:36"
"CATEGORIA C F";"00:57:37"
"CATEGORIA C M";"00:57:37"
"CATEGORIA C M";"00:57:37"
"CATEGORIA C M";"00:57:38"
"CATEGORIA C F";"00:57:39"
"CATEGORIA B F";"00:57:40"
"CATEGORIA C M";"00:57:40"
"CATEGORIA C M";"00:57:43"
"CATEGORIA C M";"00:57:43"
"CATEGORIA C M";"00:57:44"
"CATEGORIA C F";"00:57:47"
"CATEGORIA C F";"00:57:48"
"CATEGORIA B M";"00:57:48"
"CATEGORIA B M";"00:57:48"
"CATEGORIA C F";"00:57:49"
"CATEGORIA C M";"00:57:49"
"CATEGORIA C F";"00:57:51"
"CATEGORIA C M";"00:57:51"
"CATEGORIA C F";"00:57:52"
"CATEGORIA C M";"00:57:52"
"CATEGORIA C M";"00:57:52"
"CATEGORIA B F";"00:57:53"
"CATEGORIA B F";"00:57:53"
"CATEGORIA C M";"00:57:54"
"CATEGORIA C F";"00:57:55"
"CATEGORIA B F";"00:57:55"
"CATEGORIA C M";"00:57:55"
"CATEGORIA B M";"00:57:55"
"CATEGORIA B M";"00:57:57"
"CATEGORIA C M";"00:57:57"
"CATEGORIA C M";"00:57:58"
"CATEGORIA C M";"00:57:58"
"CATEGORIA C M";"00:58:00"
"CATEGORIA C M";"00:58:01"
"CATEGORIA C M";"00:58:01"
"CATEGORIA C M";"00:58:01"
"CATEGORIA C M";"00:58:02"
"CATEGORIA C M";"00:58:02"
"CATEGORIA A F";"00:58:03"
"CATEGORIA B M";"00:58:03"
"CATEGORIA C F";"00:58:06"
"CATEGORIA C M";"00:58:06"
"CATEGORIA C M";"00:58:07"
"CATEGORIA B M";"00:58:07"
